word,total_freq,occur_freq,std,cv
王伟,94,2,2.3957871394068313,38.383568424964764
王锋,60,2,1.5200321433994268,38.15280679932562
林巧稚,56,2,1.4170086289915533,38.1074106296657
秦川,48,2,1.2109697033883673,37.994174443810024
诺兰,47,2,1.1852158119671952,37.9773406983531
范明,46,2,1.1594621851434943,37.959783713610925
苏共,91,3,2.29288137475232,37.94592692721971
汉娜,43,2,1.082203081158276,37.902275354054964
潘华琼,43,2,1.082203081158276,37.902275354054964
范晔,42,2,1.0564507108339807,37.88130405990417
郑威,37,2,0.9276950865501213,37.75969730660764
乔婷娇,36,2,0.9019454560732184,37.7313849123963
博物,72,3,1.8035227754802996,37.723684720462934
乔布斯,34,2,0.8504480514759672,37.66984604478843
射箭,67,2,1.6751482573597851,37.65333247140054
石黑,33,2,0.8247003932735353,37.63632703848315
英子,33,2,0.8247003932735353,37.63632703848315
伍昕钰,66,3,1.648998160524673,37.62713984469936
一雄,32,2,0.7989535208633229,37.60075007563014
张丽珠,63,2,1.5721608069184707,37.582129765384394
延毕,30,2,0.7474624582231667,37.52261540280297
德州,29,2,0.7217184593536192,37.47958619953623
蝶衣,29,2,0.7217184593536191,37.47958619953622
洛兵,57,3,1.4172253322666704,37.44458509462466
铁汉,28,2,0.6959756332793742,37.43354656138348
西奥多,28,2,0.6959756332793741,37.43354656138347
狼风,28,2,0.6959756332793741,37.43354656138347
李光耀,28,2,0.6959756332793741,37.43354656138347
佟府,28,2,0.6959756332793741,37.43354656138347
刘华杰,27,2,0.6702341151371007,37.38416953320273
任国桢,54,3,1.339972781487038,37.370352017027386
莆田,26,2,0.6444940616458157,37.33107910917686
丁宇辰,26,2,0.6444940616458156,37.33107910917686
文珍,25,2,0.6187556555926991,37.273840692904194
刘媛媛,25,2,0.618755655592699,37.27384069290419
永昌,50,2,1.237511311185398,37.27384069290419
耿红清,24,2,0.5930191114857116,37.211949245728405
熊典,24,2,0.5930191114857116,37.211949245728405
居世江,70,2,1.7275877193307574,37.16781579017315
邓在军,23,2,0.5672846827429567,37.14481444395186
胡金,23,2,0.5672846827429567,37.14481444395186
宋玺,45,3,1.10823771022642,37.08902203557752
周尔均,22,2,0.5415526709290365,37.071741928142224
铨,22,2,0.5415526709290364,37.07174192814222
许鞍华,22,2,0.5415526709290364,37.07174192814222
清洁卫生,22,2,0.5415526709290363,37.07174192814221
惠民,22,2,0.5415526709290363,37.07174192814221
张林,44,3,1.0824921063514283,37.05075254921025
今敏,21,2,0.5158234377518057,36.991909393058066
小龙,41,3,1.0052596732773293,36.924904096479466
易飞,20,2,0.4900974208317475,36.90433578863059
卡佛,20,2,0.4900974208317475,36.90433578863059
精密仪器,20,2,0.49009742083174745,36.90433578863058
蔡雅垠,20,2,0.4900974208317474,36.904335788630576
裴坚,40,3,0.9795171802349276,36.878821835845024
何怀宏,19,2,0.46437515470349294,36.80784120965581
习马会,19,2,0.4643751547034929,36.807841209655805
神曲,19,2,0.4643751547034929,36.807841209655805
碧玉,19,2,0.4643751547034929,36.807841209655805
广播台,19,2,0.4643751547034929,36.807841209655805
素食者,19,2,0.4643751547034929,36.807841209655805
阴阳师,38,3,0.9280350833752093,36.779495672712244
游富凯,18,2,0.438657299191495,36.700994032355084
王雷,18,2,0.438657299191495,36.700994032355084
阿远,18,2,0.43865729919149493,36.70099403235508
甲亢,18,2,0.43865729919149493,36.70099403235508
莫凡洋,18,2,0.4386572991914949,36.70099403235507
红霞,17,2,0.41294467836525334,36.5820403304748
颤音,17,2,0.41294467836525334,36.5820403304748
岛民,17,2,0.41294467836525334,36.5820403304748
徐芷冰,17,2,0.4129446783652532,36.58204033047478
李兰,17,2,0.4129446783652532,36.58204033047478
韶山,17,2,0.4129446783652532,36.58204033047478
多见,17,2,0.4129446783652532,36.58204033047478
杀菌机,34,3,0.8250849703590474,36.546410745903685
纳什,33,3,0.79935103675856,36.47947458661792
辅音,16,2,0.3872383349753873,36.44880827955833
飞絮,16,2,0.38723833497538723,36.44880827955833
白乐天,16,2,0.38723833497538723,36.44880827955833
忍者,16,2,0.3872383349753873,36.44880827955833
试管婴儿,16,2,0.3872383349753873,36.44880827955833
立冬,16,2,0.3872383349753873,36.44880827955833
中巴,16,2,0.3872383349753873,36.44880827955833
漆永祥,65,3,1.5729694123915163,36.44449130864036
放生,32,3,0.7736188280087947,36.4084360931639
鼓浪屿,80,5,1.933102690140308,36.3906581418913
何健,31,2,0.7487758428320718,36.376013525970976
莹莹,15,2,0.3615396080472512,36.298576647944024
冰球,15,2,0.3615396080472512,36.298576647944024
帕合丽娅,15,2,0.3615396080472512,36.298576647944024
金克木,15,2,0.36153960804725116,36.29857664794402
南极,30,3,0.7221603225735266,36.252448193191036
林品,29,3,0.6964344627217858,36.16656209858653
